;Postal Code;Property Type;Room Type;Accomodates;Bathrooms;Bedrooms;Beds;Square Feet
28;10961.0;0;0;4;1.5;2.0;2.0;831,0
54;10439.0;0;0;2;1.0;1.0;1.0;53,0
58;10829.0;0;0;1;1.0;1.0;1.0;235,0
63;10961.0;0;1;2;1.5;1.0;2.0;7,0
124;0;0;0;4;1.0;2.0;2.0;646,0
239;12051.0;0;0;2;1.0;1.0;1.0;331,0
317;10115.0;0;0;2;0;1.0;1.0;753,0
400;10247.0;0;1;4;1.0;1.0;2.0;609,0
405;10779.0;0;0;4;1.0;1.0;2.0;515,0
505;10829.0;1;0;8;2.0;3.0;4.0;1912,0
530;10405.0;0;0;4;1.0;2.0;4.0;700,0
622;10439;0;0;2;1.0;1.0;1.0;470,0
739;13347;0;0;2;1.0;2.0;3.0;639,0
749;10717.0;0;0;3;1.0;1.0;2.0;21,0
1039;10439.0;0;0;6;2.0;2.0;5.0;702,0
1048;10965.0;0;0;2;1.0;1.0;1.0;409,0
1070;10407.0;0;0;4;1.0;1.0;2.0;775,0
1250;10777;0;0;4;1.0;1.0;3.0;979,0
1262;10589.0;0;1;2;1.0;1.0;1.0;415,0
1312;10707.0;2;0;2;1.0;1.0;1.0;415,0
1419;10405.0;0;0;6;2.0;2.0;4.0;761,0
1507;10825.0;0;0;2;1.0;1.0;1.0;431,0
1718;12047.0;0;1;4;1.0;1.0;1.0;131,0
1745;12047;0;0;4;1.0;1.0;2.0;632,0
1813;12055.0;0;0;4;1.0;2.0;2.0;805,0
1953;10787.0;0;0;4;1.0;1.0;2.0;775,0
2101;10245.0;0;0;2;1.0;1.0;2.0;455,0
2254;10179.0;0;0;3;1.0;1.0;2.0;700,0
2418;10827.0;0;0;4;1.0;2.0;2.0;690,0
2459;10249;0;0;4;1.0;1.0;2.0;440,0
2477;0;3;0;2;1.0;1.0;1.0;489,0
2480;10243;0;0;2;1.0;1.0;1.0;440,0
2524;10119.0;1;0;7;1.0;3.0;4.0;1076,0
2538;10777.0;0;0;5;2.0;2.0;4.0;1493,0
2554;10827.0;0;0;7;1.0;3.0;6.0;1330,0
2565;10178.0;0;0;5;2.0;2.0;4.0;1076,0
2566;10115.0;0;0;2;1.0;1.0;1.0;455,0
2572;10243.0;0;0;4;1.0;1.0;2.0;700,0
2676;12527.0;4;1;2;2.0;1.0;1.0;252,0
2702;10117.0;0;1;2;2.0;1.0;1.0;129,0
2725;10435.0;0;0;2;1.0;1.0;1.0;453,0
2863;10585.0;0;0;2;1.0;0.0;1.0;477,0
2869;10179.0;0;0;2;0;1.0;3.0;355,0
2985;10243.0;0;0;4;1.0;2.0;2.0;730,0
3203;10997.0;0;0;4;1.0;1.0;2.0;598,0
3338;0;0;0;4;1.0;1.0;1.0;652,0
3409;10115.0;0;0;3;1.0;1.0;2.0;700,0
3479;10963.0;0;0;3;1.0;1.0;3.0;380,0
3646;10245.0;0;1;1;1.0;1.0;1.0;152,0
3780;10405.0;0;1;2;1.0;1.0;1.0;129,0
3786;13189;2;0;2;1.0;1.0;1.0;485,0
3860;10437.0;0;0;4;1.0;1.0;1.0;777,0
3954;10405.0;0;0;2;1.0;1.0;1.0;402,0
4038;10115;0;0;5;1.0;2.0;4.0;1076,0
4230;12055;0;1;2;1.0;1.0;1.0;215,0
4273;10115.0;0;0;2;1.0;1.0;1.0;807,0
4294;12099.0;0;0;2;1.0;1.0;1.0;598,0
4340;10965;0;0;2;1.0;1.0;1.0;484,0
4566;10629.0;0;1;2;1.0;1.0;1.0;415,0
4603;10439.0;0;0;4;1.0;1.0;2.0;542,0
4838;10829.0;0;0;4;1.0;2.0;1.0;517,0
4930;10115.0;0;1;2;1.0;1.0;1.0;615,0
4938;12051.0;0;0;4;1.0;1.0;1.0;333,0
5023;10179.0;0;0;6;1.0;2.0;4.0;775,0
5098;10585.0;2;0;4;1.0;0.0;6.0;985,0
5250;12059;0;0;5;1.0;2.0;5.0;685,0
5379;10435.0;0;0;2;1.0;1.0;1.0;450,0
5453;10245.0;0;1;2;1.0;1.0;1.0;131,0
5491;10961;0;1;2;1.0;1.0;1.0;590,0
5501;10785;0;0;2;1.0;1.0;1.0;10,0
5506;12051;0;0;2;1.0;2.0;2.0;807,0
5556;10247;0;0;6;1.0;0.0;2.0;348,0
5606;10407.0;0;1;2;2.0;1.0;1.0;152,0
5651;10119.0;0;1;1;1.0;1.0;1.0;121,0
5653;12043.0;0;1;2;1.0;1.0;1.0;221,0
5743;10967.0;2;0;3;1.0;1.0;4.0;861,0
5886;13156.0;0;0;4;1.0;1.0;1.0;674,0
5930;0;0;0;8;1.0;2.0;5.0;1892,0
5961;10961.0;0;0;4;1.0;2.0;2.0;588,0
6004;10707.0;0;0;4;1.0;2.0;2.0;407,0
6006;10178.0;0;0;4;1.0;1.0;2.0;700,0
6016;10119.0;0;0;2;1.0;1.0;1.0;700,0
6087;10437.0;0;0;4;1.5;2.0;3.0;507,0
6122;10999.0;1;0;2;1.0;1.0;1.0;414,0
6257;12047.0;0;0;4;1.0;2.0;2.0;515,0
6326;10717.0;0;0;2;1.0;1.0;2.0;463,0
6557;10437.0;0;0;4;1.0;1.0;1.0;650,0
6603;0;0;1;2;1.0;1.0;1.0;415,0
6708;10439.0;0;0;2;1.0;1.0;1.0;594,0
6819;10115.0;0;0;2;1.0;1.0;1.0;353,0
6861;10115.0;0;1;1;1.0;1.0;1.0;215,0
6979;10553.0;2;0;4;1.0;1.0;2.0;1398,0
7007;10439.0;1;0;2;1.0;1.0;2.0;46,0
7126;10777.0;0;0;4;1.0;1.0;2.0;431,0
7233;10405.0;0;0;3;1.0;2.0;2.0;346,0
7300;10179.0;0;1;1;1.0;1.0;1.0;285,0
7335;14057.0;0;0;4;1.0;1.0;4.0;888,0
7355;10405.0;0;1;2;1.0;1.0;1.0;261,0
7359;10829.0;0;0;4;1.0;1.0;2.0;461,0
7377;10779.0;0;0;4;1.0;2.0;1.0;479,0
7504;10247.0;0;0;2;1.0;1.0;2.0;700,0
7527;0;0;0;3;1.0;1.0;2.0;405,0
7569;10115.0;0;0;3;0.5;0.0;1.0;451,0
7584;10999.0;0;0;2;1.0;1.0;1.0;653,0
7717;10439.0;0;1;1;2.0;1.0;1.0;129,0
7801;10117;0;0;2;1.0;1.0;1.0;515,0
7810;0;0;1;2;1.0;1.0;1.0;198,0
7828;10317.0;0;0;4;1.0;1.0;1.0;887,0
7916;10245.0;0;0;6;2.0;3.0;3.0;161,0
8019;10245.0;0;0;2;1.0;1.0;3.0;846,0
8045;12051;0;0;2;1.0;1.0;2.0;807,0
8083;10559;0;0;3;1.0;2.0;2.0;650,0
8135;0;5;1;2;1.0;1.0;1.0;484,0
8206;10245;0;0;3;1.0;2.0;2.0;480,0
8231;10247.0;0;0;4;1.0;1.0;2.0;700,0
8387;10437;1;0;3;2.0;2.0;2.0;423,0
8443;10409.0;0;1;2;1.0;1.0;1.0;361,0
8593;10967;0;0;4;1.0;2.0;2.0;639,0
8621;10439.0;0;0;2;1.0;1.0;1.0;431,0
8778;10178.0;0;0;2;1.0;1.0;2.0;676,0
8849;13156.0;5;0;10;3.0;0;7.0;1872,0
8891;10961;0;0;3;1.0;1.0;1.0;484,0
8894;10587.0;0;1;2;1.0;1.0;1.0;404,0
8907;10245;0;0;4;1.0;2.0;2.0;780,0
9108;10999.0;0;0;2;1.0;1.0;1.0;461,0
9118;12047.0;0;0;6;1.0;2.0;4.0;763,0
9221;10178.0;0;1;1;1.0;1.0;1.0;121,0
9234;10997.0;0;0;4;1.0;1.0;2.0;863,0
9272;12043.0;0;0;5;1.0;2.0;4.0;752,0
9288;10999.0;0;0;2;1.0;1.0;1.0;512,0
9322;10997.0;0;0;12;0;0;9.0;1722,0
9497;10115.0;0;0;4;1.0;1.0;4.0;753,0
9546;10115;0;0;3;1.0;1.0;2.0;407,0
9557;13357.0;0;0;4;1.0;1.0;2.0;637,0
9680;10967.0;0;1;2;1.0;1.0;2.0;461,0
9686;10437.0;0;0;7;2.0;2.0;5.0;1052,0
9793;10969.0;1;0;2;1.0;1.0;1.0;444,0
9930;10247.0;0;1;1;1.0;1.0;1.0;192,0
9959;10435.0;1;0;2;1.0;1.0;3.0;535,0
10025;0;0;1;3;1.0;1.0;2.0;515,0
10046;10437;0;0;2;1.0;1.0;1.0;252,0
10117;10437.0;0;0;8;1.5;1.0;6.0;1722,0
10197;12437.0;0;0;6;2.0;2.0;5.0;802,0
10211;10407.0;0;0;2;1.0;1.0;1.0;494,0
10223;10827.0;0;0;2;1.0;1.0;1.0;415,0
10271;13353.0;0;0;4;1.0;1.0;1.0;492,0
10313;10627.0;0;0;2;1.0;0.0;1.0;388,0
10316;10119.0;0;0;3;1.5;2.0;3.0;807,0
10671;10969.0;0;0;2;1.0;1.0;1.0;261,0
10674;12049.0;0;0;4;1.0;2.0;3.0;245,0
10784;10435.0;0;0;2;1.0;1.0;1.0;861,0
10848;12055.0;0;0;2;1.0;1.0;1.0;803,0
10907;10119.0;0;0;2;1.0;1.0;1.0;891,0
10999;14163.0;0;0;2;1.0;1.0;1.0;569,0
11045;0;0;0;5;1.0;2.0;3.0;649,0
11064;10405.0;0;0;2;1.0;1.0;1.0;770,0
11171;10713.0;0;1;2;1.0;1.0;2.0;415,0
11293;12047;0;1;2;1.0;1.0;1.0;131,0
11302;10961;0;1;2;1.0;1.0;2.0;592,0
11363;10405.0;0;0;5;1.5;3.0;3.0;1235,0
11509;13055.0;0;0;2;1.0;1.0;2.0;672,0
11517;12043.0;0;0;9;1.0;2.0;6.0;952,0
11589;10829.0;2;0;4;1.0;2.0;2.0;668,0
11655;10961.0;4;1;2;2.0;1.0;1.0;872,0
11677;10585.0;0;0;2;1.0;1.0;1.0;452,0
11836;14059.0;0;0;3;2.0;1.0;2.0;484,0
11888;10999.0;0;0;2;1.0;1.0;2.0;700,0
11897;10827.0;2;0;6;1.0;3.0;4.0;1606,0
11951;10999.0;0;1;2;1.0;1.0;2.0;285,0
12116;10405.0;0;0;2;1.0;1.0;1.0;598,0
12167;10967.0;0;1;2;1.0;1.0;1.0;461,0
12290;13353.0;0;0;4;1.0;1.0;2.0;678,0
12291;12053.0;0;0;2;1.0;1.0;1.0;452,0
12306;10178.0;0;0;3;1.0;2.0;2.0;853,0
12319;12055;0;0;2;1.0;1.0;2.0;372,0
12352;12053.0;0;1;5;1.0;1.0;3.0;606,0
12375;10585.0;0;0;2;1.0;0.0;1.0;386,0
12393;10715.0;0;0;4;1.0;1.0;1.0;485,0
12443;0;0;0;2;1.0;1.0;1.0;451,0
12504;10245.0;0;0;3;1.0;1.0;2.0;646,0
12555;10829.0;0;0;0;2.0;3.0;10.0;1023,0
12563;10119.0;0;0;4;1.0;2.0;2.0;652,0
12605;10999.0;0;0;4;1.0;2.0;2.0;821,0
12706;12159.0;0;0;2;1.0;0.0;1.0;352,0
12722;10997.0;0;0;8;1.0;3.0;8.0;1343,0
12856;10967.0;0;0;3;1.0;2.0;1.0;231,0
12874;10405.0;0;0;2;1.0;1.0;1.0;461,0
12886;10967.0;0;0;4;2.0;2.0;2.0;700,0
12997;10827.0;0;0;8;1.0;3.0;9.0;63,0
13091;10967;0;1;2;1.0;1.0;1.0;212,0
13155;10627.0;0;0;2;1.0;1.0;1.0;417,0
13267;10435.0;0;1;2;1.0;1.0;1.0;161,0
13373;10119.0;0;0;3;1.0;1.0;4.0;753,0
13486;10785.0;0;0;0;2.0;4.0;0;1392,0
13496;10559.0;0;0;2;1.0;1.0;1.0;750,0
13537;10245.0;0;0;4;1.0;3.0;3.0;807,0
13598;10179;0;0;2;1.0;2.0;2.0;592,0
13668;10439.0;0;1;2;1.0;1.0;2.0;475,0
13688;10119;0;0;2;2.0;1.0;1.0;753,0
13720;10115;0;0;3;1.0;1.0;1.0;700,0
13726;10967.0;0;0;4;1.0;2.0;2.0;646,0
13890;14197.0;0;0;9;2.0;3.0;9.0;1299,0
13929;10623.0;0;0;2;1.0;1.0;1.0;1392,0
14019;10405.0;0;1;4;1.0;1.0;2.0;598,0
14079;12055;0;0;8;2.0;3.0;3.0;1002,0
14083;10551.0;0;1;2;1.0;1.0;1.0;961,0
14138;10243.0;0;0;3;1.0;2.0;3.0;752,0
14244;10827.0;0;0;10;2.0;3.0;8.0;1893,0
14338;10707.0;0;1;2;1.0;1.0;1.0;215,0
14436;13353.0;0;0;5;1.0;1.0;2.0;855,0
14592;10961.0;0;1;2;1.0;1.0;1.0;70,0
14614;10777.0;0;0;4;1.0;1.0;2.0;931,0
14650;10551.0;0;0;2;1.0;1.0;1.0;333,0
14729;10997.0;0;0;2;1.0;1.0;1.0;475,0
15096;13353.0;2;0;5;2.0;2.0;4.0;1896,0
15211;10407.0;0;0;4;1.5;1.0;2.0;652,0
15230;10961.0;0;1;2;1.0;1.0;1.0;415,0
15242;0;0;0;2;1.0;1.0;1.0;374,0
15346;12049.0;0;0;4;1.0;2.0;3.0;700,0
15399;12059.0;0;1;2;1.0;2.0;1.0;805,0
15757;10243;0;1;2;1;1;1;495,0
15883;10999;0;1;4;1;1;1;70,0
16009;14169;0;0;2;1;1;2;684,0
16129;10245;2;0;5;1;0;3;333,0
16165;10437;0;0;2;1;1;2;446,0
16191;12157;0;0;3;1;1;1;452,0
16241;0;0;1;2;1;1;1;289,0
16278;10719;0;0;4;1;1;2;938,0
16390;12157;1;0;6;1.5;3;6;1333,0
16398;12045;0;0;4;1;0;3;646,0
16422;10777;0;0;2;1;1;1;979,0
16516;10119;0;0;2;1;1;1;46,0
16558;10409;0;0;5;1;1;4;980,0
16611;12099;0;0;3;1;1;1;538,0
16631;0;4;0;8;1;2;6;660,0
16677;10715;0;1;4;1;1;1;415,0
16683;12049;0;0;7;1;2;5;1652,0
16845;10969;0;0;2;1;1;1;161,0
16875;10435;0;0;2;1;1;1;353,0
16896;10245;1;2;1;1;1;1;135,0
17012;10178;0;1;2;1;1;1;92,0
17031;10405;0;0;2;1;1;1;763,0
17096;10965;0;0;4;1;2;3;835,0
17293;10997;0;1;2;2;1;1;1092,0
17313;10829;0;0;12;2;5;0;1370,0
17337;10245;0;0;5;2;3;3;1112,0
17378;12055;0;1;2;0;1;1;255,0
17446;10115;0;0;5;1.5;2;3;172,0
17480;10249;0;0;2;1;1;1;450,0
17507;13351;0;0;7;2;2;3;1192,0
17511;10245;0;0;4;1;1;2;770,0
17525;10437;0;0;3;1.5;2;1;750,0
17560;10999;0;0;2;1;1;1;461,0
17589;10967;0;0;4;1;1;2;631,0
17594;10439;0;0;0;0;4;10;2000,0
17595;10965;0;1;2;1;1;1;384,0
17728;10119;0;0;7;1;4;4;1807,0
17805;12051;0;0;2;1;1;1;474,0
17846;10119;0;1;1;1;1;1;161,0
18162;10965;0;1;2;2;1;1;821,0
18207;12045;0;1;2;1;1;1;105,0
18228;10961;0;0;8;1;2;5;1390,0
18320;10119;1;0;2;1;0;1;770,0
18420;0;0;0;4;1;1;2;648,0
18423;10115;0;0;4;1;1;2;652,0
18906;10405;0;1;2;1;1;2;200,0
18928;10997;0;0;4;1;1;2;452,0
19164;12623;4;0;6;3;2;6;162,0
19258;14059;0;0;3;1;1;1;486,0
19299;10407;0;0;2;1;1;1;872,0
19355;10967;0;1;2;1.5;1;1;552,0
19406;10999;0;0;4;1;1;2;331,0
19596;10963;0;1;4;1;1;3;209,0
19656;12043;0;0;3;0;2;1;352,0
19784;10967;0;1;7;2;3;3;1232,0
19824;10119;0;0;5;1.5;3;4;1205,0
19844;10405;0;1;4;1;1;2;461,0
19849;10559;0;1;3;1;1;2;652,0
19880;0;0;0;4;1;1;2;723,0
19931;10999;0;0;2;1;2;1;575,0
20043;10245;0;0;7;2;3;4;1821,0
20231;10115;0;0;2;1;1;1;700,0
20312;0;0;0;6;2;3;2;1772,0
20388;12053;1;0;3;1;1;1;431,0
20410;10777;0;0;1;1;1;1;431,0
20495;10587;0;1;2;1;1;1;461,0
20581;0;0;0;2;1;1;1;703,0
20591;10245;0;0;4;1;1;2;600,0
20729;0;0;0;4;1;1;2;20,0
20917;10435;0;1;2;1;1;1;292,0
20986;10829;0;0;4;1.5;2;2;817,0
21220;12043;0;0;6;1;3;4;612,0
21229;10115;0;0;6;1.5;2;4;142,0
21277;0;0;0;2;1;1;1;426,0
21298;10437;0;0;2;1;0;1;355,0
21338;10559;0;1;2;2;1;1;209,0
21610;10405;0;1;3;1;1;3;101,0
21624;10551;0;1;2;1;1;1;352,0
21634;0;0;0;4;1;2;4;984,0
21767;0;0;0;3;1;1;1;455,0
21776;10969;1;0;12;2;4;4;1209,0
21854;10965;0;0;10;2;5;7;1722,0
21975;10249;0;0;6;1;1;2;700,0
22026;10439;0;0;5;2;3;5;1237,0
22056;10777;0;0;4;1;2;3;931,0
22103;10119;0;1;2;1;1;1;221,0
22113;10719;0;0;2;1;1;1;433,0
22140;12047;0;1;2;1;1;1;131,0
22154;10245;0;1;2;1;1;2;595,0
22243;10965;0;0;3;1;2;2;807,0
22385;10965;0;1;3;1;1;1;715,0
22495;10623;6;0;2;1;1;1;440,0
22525;10119;0;0;4;1;2;1;1026,0
22549;12059;0;1;2;1;1;1;346,0
22586;12049;7;1;2;1;1;1;252,0
22607;10439;0;1;2;1;1;2;561,0
22724;12053;0;1;2;1;2;2;161,0
22786;10965;2;0;8;2;3;8;1839,0
22830;10967;0;1;2;1;1;2;261,0
22916;10997;2;0;3;1;4;3;806,0
22922;10179;0;0;2;1;1;1;475,0
23006;10999;0;0;3;1;1;1;800,0
23288;10119;2;0;2;1;1;1;484,0
23302;12527;4;0;4;1;2;4;672,0
23327;10437;0;0;2;1;0;1;579,0
23345;10317;4;0;8;2.5;4;9;2860,0
23407;10119;8;0;4;1;1;2;344,0
23433;10245;0;0;3;1;1;2;807,0
